participant,soa,prime_presence,answer,rt,accuracy
001,0.0125,present,present,0.6127607999999327,TRUE
001,0.0375,present,absent,0.5947995999999875,FALSE
001,0.075,absent,absent,1.1216741999999158,TRUE
001,0.075,present,present,0.4041422000000239,TRUE
001,0.0125,present,absent,0.8683945000000222,FALSE
001,0.025,present,absent,0.38808389999985593,FALSE
001,0.075,present,present,1.2183457999999519,TRUE
001,0.0625,present,present,0.8206572999999935,TRUE
001,0.025,present,absent,2.068360900000016,FALSE
001,0.0625,present,present,0.5775346000000354,TRUE
001,0.025,present,absent,2.227111500000092,FALSE
001,0.0375,present,present,0.5778372000002037,TRUE
001,0.0625,present,present,0.4025117000001046,TRUE
001,0.075,absent,absent,0.5797437999999602,TRUE
001,0.025,absent,absent,0.5318005999999968,TRUE
001,0.075,present,present,0.578364400000055,TRUE
001,0.05,present,absent,0.9325708999999733,FALSE
001,0.0625,present,present,0.3532208999999966,TRUE
001,0.0125,present,present,1.1951466000000437,TRUE
001,0.0125,present,present,0.4349948999999924,TRUE
001,0.075,present,present,0.8682275000001027,TRUE
001,0.0125,present,absent,0.4177468000000317,FALSE
001,0.0375,absent,absent,1.23715059999995,TRUE
001,0.025,present,present,0.36994160000017473,TRUE
001,0.05,present,present,0.40506219999997484,TRUE
001,0.05,present,absent,0.579758800000036,FALSE
001,0.05,present,absent,0.49863490000007005,FALSE
001,0.0375,present,absent,0.44986530000005587,FALSE
001,0.05,absent,absent,1.107411399999819,TRUE
001,0.0375,present,absent,1.044232299999976,FALSE
001,0.025,present,absent,0.3242165000001478,FALSE
001,0.0375,present,present,0.6593033999999989,TRUE
001,0.075,present,present,0.8043359000000692,TRUE
001,0.075,present,present,0.6275293000001056,TRUE
001,0.05,present,present,0.4510603999999603,TRUE
001,0.075,absent,present,0.5781402000000071,FALSE
001,0.075,present,present,0.8043459000000439,TRUE
001,0.0625,present,present,1.3488538999999946,TRUE
001,0.0375,absent,absent,0.6898396000001412,TRUE
001,0.0125,present,absent,0.738025000000107,FALSE
001,0.0625,present,present,1.3972238999999718,TRUE
001,0.025,present,absent,0.34132399999998597,FALSE
001,0.0375,absent,absent,0.7089184999999816,TRUE
001,0.0375,present,present,0.5812924999997904,TRUE
001,0.0125,absent,absent,0.40333480000003874,TRUE
001,0.05,present,present,1.81682190000015,TRUE
001,0.0125,present,absent,2.945888800000148,FALSE
001,0.05,present,present,1.4099452000000383,TRUE
001,0.025,present,absent,0.27672180000013213,FALSE
001,0.075,absent,absent,0.7212851000001592,TRUE
001,0.0625,absent,absent,1.12480400000004,TRUE
001,0.05,absent,absent,0.2756036999999196,TRUE
001,0.05,present,present,0.801756899999873,TRUE
001,0.0375,present,absent,1.2833858999999848,FALSE
001,0.0625,absent,present,0.8351999999999862,FALSE
001,0.0625,absent,present,1.6355638,FALSE
001,0.05,present,present,0.9787830999998732,TRUE
001,0.0625,absent,absent,0.595455199999833,TRUE
001,0.05,present,present,0.24165510000011636,TRUE
001,0.075,absent,absent,0.3212507999999161,TRUE
001,0.0125,present,absent,1.219823099999985,FALSE
001,0.0375,present,present,1.1237791000000925,TRUE
001,0.0375,present,present,0.7221332000001439,TRUE
001,0.0375,absent,absent,0.24377049999998235,TRUE
001,0.0625,present,present,0.6746944999999869,TRUE
001,0.075,present,present,0.7892061999998532,TRUE
001,0.0375,present,absent,1.316903800000091,FALSE
001,0.075,present,present,0.49751120000019,TRUE
001,0.05,present,absent,3.6015976000001046,FALSE
001,0.05,present,present,0.6422218999998677,TRUE
001,0.0625,present,present,0.42008910000004107,TRUE
001,0.05,absent,absent,2.5618247999998403,TRUE
001,0.025,present,present,2.3064579000001686,TRUE
001,0.0625,present,present,0.8832821000000877,TRUE
001,0.075,absent,absent,0.24492269999996097,TRUE
001,0.05,absent,absent,1.9086606000000756,TRUE
001,0.075,absent,absent,0.5958382000001166,TRUE
001,0.075,present,present,0.43373369999994793,TRUE
001,0.025,present,absent,0.2734813999998096,FALSE
001,0.025,absent,absent,0.32158559999993486,TRUE
001,0.025,absent,present,2.961328099999946,FALSE
001,0.0125,absent,absent,0.27742190000003575,TRUE
001,0.075,present,present,1.2995952000001125,TRUE
001,0.0125,present,present,0.6127246000000923,TRUE
001,0.0625,absent,absent,0.24343079999994188,TRUE
001,0.0625,absent,absent,0.35488020000002507,TRUE
001,0.0625,present,present,0.25996230000009746,TRUE
001,0.05,present,present,0.16139110000017354,TRUE
001,0.025,present,present,1.8763311999998677,TRUE
001,0.025,absent,absent,0.22904200000016317,TRUE
001,0.075,absent,absent,1.3875696000000062,TRUE
001,0.0125,present,present,0.6071825000001354,TRUE
001,0.0375,absent,present,0.6285870000001523,FALSE
001,0.0375,present,absent,0.770794799999976,FALSE
001,0.0375,absent,absent,0.22915169999987484,TRUE
001,0.075,present,present,0.30170429999998305,TRUE
001,0.0125,absent,absent,1.3806974999999966,TRUE
001,0.05,present,present,0.3253140000001622,TRUE
001,0.025,present,present,1.5707574000000477,TRUE
001,0.05,absent,absent,0.25967020000007324,TRUE
001,0.0375,present,absent,1.1890223000000333,FALSE
001,0.0625,present,present,0.27665830000000824,TRUE
001,0.0375,present,present,0.7567621999999119,TRUE
001,0.0125,present,present,0.33747040000002926,TRUE
001,0.0125,absent,absent,0.3717335000001185,TRUE
001,0.0625,present,present,0.4178357999999207,TRUE
