participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.025,left,right,FALSE,right,0.3314980000000105,TRUE
001,0.0375,left,right,FALSE,right,0.3777574000000641,TRUE
001,0.075,right,left,FALSE,left,0.36278619999984585,TRUE
001,0.075,right,right,TRUE,right,0.21895410000001903,TRUE
001,0.05,left,right,FALSE,right,0.39350390000004154,TRUE
001,0.075,left,right,FALSE,right,0.3861355999999887,TRUE
001,0.0625,right,left,FALSE,left,0.40018959999997605,TRUE
001,0.0125,left,right,FALSE,right,0.29246859999989283,TRUE
001,0.0625,right,left,FALSE,left,0.3261290000000372,TRUE
001,0.025,left,right,FALSE,right,0.46591349999994236,TRUE
001,0.0375,left,right,FALSE,right,0.38457350000021506,TRUE
001,0.0125,right,right,TRUE,right,0.433371999999963,TRUE
001,0.05,left,right,FALSE,right,0.5619174000000839,TRUE
001,0.025,right,right,TRUE,right,0.353503499999988,TRUE
001,0.05,right,right,TRUE,right,0.24212760000000344,TRUE
001,0.0375,right,right,TRUE,right,0.3021674999999959,TRUE
001,0.05,right,left,FALSE,left,0.45223729999997886,TRUE
001,0.05,right,left,FALSE,left,0.4182742000000417,TRUE
001,0.0125,left,right,FALSE,right,0.4150990999999067,TRUE
001,0.0375,left,left,TRUE,left,0.42471610000006876,TRUE
001,0.0375,left,right,FALSE,right,0.49119199999995544,TRUE
001,0.0625,left,left,TRUE,left,0.27362209999978404,TRUE
001,0.075,right,right,TRUE,right,0.4741664000000583,TRUE
001,0.0375,right,left,FALSE,left,0.350223700000015,TRUE
001,0.075,left,right,FALSE,right,0.4384712999999465,TRUE
001,0.05,left,right,FALSE,right,0.46918440000013106,TRUE
001,0.05,right,right,TRUE,right,0.31706209999993007,TRUE
001,0.0625,left,right,FALSE,right,0.5355552999999418,TRUE
001,0.025,right,left,FALSE,left,0.38589329999990696,TRUE
001,0.0625,right,right,TRUE,right,0.3937238000000889,TRUE
001,0.075,right,right,TRUE,right,0.23799610000014582,TRUE
001,0.025,right,right,TRUE,right,0.3204077000000325,TRUE
001,0.0125,right,left,FALSE,left,0.23751319999996667,TRUE
001,0.0625,left,left,TRUE,left,0.29090419999988626,TRUE
001,0.05,right,left,FALSE,left,0.29666169999995873,TRUE
001,0.025,left,right,FALSE,right,0.3911471999999776,TRUE
001,0.0125,right,left,FALSE,left,0.3289494000000559,TRUE
001,0.0375,right,left,FALSE,left,0.45225890000006075,TRUE
001,0.05,left,left,TRUE,left,0.2512773000000834,TRUE
001,0.025,right,left,FALSE,left,0.29385419999994156,TRUE
001,0.0375,left,left,TRUE,left,0.4336820999999418,TRUE
001,0.0625,left,right,FALSE,right,0.3277707999998256,TRUE
001,0.0375,left,left,TRUE,left,0.24151099999994585,TRUE
001,0.0125,left,left,TRUE,left,0.300255800000059,TRUE
001,0.0625,right,right,TRUE,right,0.22842399999990448,TRUE
001,0.075,left,left,TRUE,left,0.2539421000001312,TRUE
001,0.025,left,left,TRUE,left,0.22815460000015264,TRUE
001,0.0125,right,right,TRUE,right,0.30236869999998817,TRUE
001,0.0625,left,left,TRUE,left,0.22555069999998523,TRUE
001,0.025,left,left,TRUE,left,0.30251240000006874,TRUE
001,0.025,left,right,FALSE,right,0.3533978999998908,TRUE
001,0.075,left,left,TRUE,left,0.26593769999999495,TRUE
001,0.0125,right,left,FALSE,left,0.25148479999984374,TRUE
001,0.025,right,left,FALSE,left,0.25399240000001555,TRUE
001,0.0625,right,left,FALSE,left,0.32162289999996574,TRUE
001,0.0375,right,left,FALSE,left,0.22067670000001272,TRUE
001,0.075,left,left,TRUE,left,0.2368688999999904,TRUE
001,0.025,right,left,FALSE,left,0.20015920000014376,TRUE
001,0.0375,right,right,TRUE,right,0.2659625999999662,TRUE
001,0.05,right,right,TRUE,right,0.2383245999999417,TRUE
001,0.025,right,right,TRUE,right,0.2581956999997601,TRUE
001,0.075,left,right,FALSE,right,0.45171750000008615,TRUE
001,0.075,right,left,FALSE,left,0.38815130000011777,TRUE
001,0.0125,left,right,FALSE,right,0.22975780000024315,TRUE
001,0.0625,right,right,TRUE,right,0.2598176000001331,TRUE
001,0.05,left,right,FALSE,right,0.39104260000021895,TRUE
001,0.0125,left,left,TRUE,left,0.3407156999996914,TRUE
001,0.025,left,left,TRUE,left,0.2956573000001299,TRUE
001,0.0125,right,right,TRUE,right,0.4993528999998489,TRUE
001,0.0125,right,right,TRUE,right,0.28625099999999293,TRUE
001,0.025,right,right,TRUE,right,0.24345369999991817,TRUE
001,0.0625,left,right,FALSE,right,0.37423089999992953,TRUE
001,0.0625,right,right,TRUE,right,0.3022703999999976,TRUE
001,0.05,left,left,TRUE,left,0.26864660000001095,TRUE
001,0.0375,right,right,TRUE,right,0.4772874000000229,TRUE
001,0.0375,right,left,FALSE,left,0.379649900000004,TRUE
001,0.075,left,left,TRUE,left,0.3071583000000828,TRUE
001,0.0125,left,right,FALSE,right,0.4796222999998463,TRUE
001,0.0375,left,left,TRUE,left,0.4274279999999635,TRUE
001,0.0625,right,left,FALSE,left,0.35366490000023987,TRUE
001,0.0625,left,left,TRUE,left,0.36417059999985213,TRUE
001,0.0125,right,right,TRUE,right,0.41810039999973014,TRUE
001,0.05,left,right,FALSE,right,0.3761792999998761,TRUE
001,0.075,left,right,FALSE,right,0.3708151999999245,TRUE
001,0.0125,left,left,TRUE,left,0.29291939999984606,TRUE
001,0.025,left,right,FALSE,right,0.4217196999998123,TRUE
001,0.0375,right,left,FALSE,left,0.3433608999998796,TRUE
001,0.0625,left,left,TRUE,left,0.41889199999968696,TRUE
001,0.075,right,left,FALSE,left,0.33610459999999875,TRUE
001,0.025,right,left,FALSE,left,0.3188285999999607,TRUE
001,0.0125,right,left,FALSE,left,0.27057250000007116,TRUE
001,0.0375,left,right,FALSE,right,0.37776450000001205,TRUE
001,0.05,left,left,TRUE,left,0.32697890000008556,TRUE
001,0.0625,left,right,FALSE,right,0.5394537999995919,TRUE
001,0.0625,left,right,FALSE,right,0.42923430000018925,TRUE
001,0.075,left,left,TRUE,left,0.2277216999996199,TRUE
001,0.0625,right,left,FALSE,left,0.385336499999994,TRUE
001,0.0125,right,left,FALSE,left,0.26714329999958863,TRUE
001,0.0625,left,left,TRUE,left,0.336213300000054,TRUE
001,0.05,right,left,FALSE,left,0.37147349999986545,TRUE
001,0.05,left,right,FALSE,right,0.4417851999996856,TRUE
001,0.0375,right,right,TRUE,right,0.266110099999878,TRUE
001,0.0125,left,right,FALSE,right,0.2609207000000424,TRUE
001,0.075,right,right,TRUE,right,0.5406884000003629,TRUE
001,0.0625,left,left,TRUE,left,0.24528159999999843,TRUE
001,0.0125,left,left,TRUE,left,0.31840409999995245,TRUE
001,0.05,left,left,TRUE,left,0.4258159999999407,TRUE
001,0.075,left,right,FALSE,right,0.48131569999986823,TRUE
001,0.05,left,right,FALSE,right,0.3967373000000407,TRUE
001,0.025,left,left,TRUE,left,0.3324385999999322,TRUE
001,0.0625,right,right,TRUE,right,0.2494808000001285,TRUE
001,0.075,left,right,FALSE,right,0.3533884999997099,TRUE
001,0.075,right,right,TRUE,right,0.5696432999998251,TRUE
001,0.025,left,left,TRUE,left,0.5068371000002116,TRUE
