soa,trim,bf,cohensd
0.0125,2.5sd,0.0025557621302424683,0.13
0.025,2.5sd,38685586851749134e12,0.75
0.0375,2.5sd,10626112993197373e3,1.01
0.05,2.5sd,5579721631700702e6,1.08
0.0625,2.5sd,21616096131708633e270,1.35
0.075,2.5sd,63952483903697450,1.86
0.0125,2sd,0.0027482349783292206,0.14
0.025,2sd,9271748504938696e81,0.75
0.0375,2sd,13368727034849545e37,1.04
0.05,2sd,33482728279070506e38,1.11
0.0625,2sd,5676448511210763e123,1.26
0.075,2sd,33905030743037072,1.87
