soa,bf,cohensd
0.0125,0.05794512546245604,0.1
0.025,52829682220617.945,0.9
0.0375,26356674733419.543,1.4
0.05,15299771961101.166,1.7
0.0625,8521421004086.021,2
0.075,11721856071512.668,2
0.3,283525309175131700,1.4
