soa,bf,cohensd
0.0125,0.002153092155160528,0.11
0.025,1003273798481201.6,0.75
0.0375,9622232931611955e27,1.01
0.05,621955485921004e22,1.08
0.0625,27399382145608546e46,1.27
0.075,36327744152862336,1.86
