soa,bf,cohensd
0.0625,11066906757419764,0.4
0.05,143839470825741680,0.4
0.075,901055410786486.4,0.3
0.0125,0.04976692812490113,-0.1
0.3,7413887675494397e3,-2.3
0.0375,14605670668942192,0.4
0.025,115391541033490.2,0.3
