soa,spearmanbrown,.lower,.upper,.width
12.5,-0.53,-0.88,0.7,0.95
25,0.63,-0.22,0.95,0.95
37.5,0.91,0.7,0.99,0.95
50,0.92,0.71,0.99,0.95
62.5,0.94,0.79,0.99,0.95
75,0.94,0.82,0.99,0.95
300,0.97,0.9,1,0.95
