participant,soa,sessions,bf,cohensd
001,0.0625,6,198793419721.9025,0.4
001,0.05,6,3096232970316961.5,0.5
001,0.075,6,1780048417775481.5,0.7
001,0.0125,6,194988.1795121997,0.4
001,0.3,6,54015389105245370,7.4
001,0.0375,6,5165826884418870,0.5
001,0.025,6,1375.898375476737,0.4
002,0.3,5,51948996006050040,5.9
002,0.075,5,4641841998437399,2.7
002,0.0375,5,1409770935443784e3,0.6
002,0.05,5,6255510381196986e9,1.2
002,0.025,5,84160507760.52727,0.5
002,0.0625,5,114749352144023150,1.8
002,0.0125,5,0.0698649981424432,0.1
003,0.0125,5,0.14632086777344427,0.2
003,0.075,5,294.3815337017814,0.4
003,0.0625,5,3.5066826645350933,0.3
003,0.0375,5,0.08482894449335378,0.1
003,0.05,5,0.07956611620076062,0.1
003,0.025,5,0.03963199807786394,0
003,0.3,5,9374389700120070,8
004,0.3,5,72726022048521090,6.9
004,0.0625,5,2325217470213730300,0.9
004,0.05,5,395886242807652.56,0.8
004,0.0125,5,0.03671874552819382,0
004,0.075,5,1810921880962741,1.2
004,0.025,5,0.04857870988570219,0.1
004,0.0375,5,643791.8656578296,0.4
005,0.0375,5,0.05040173794543668,0.1
005,0.3,5,114695036121013630,6.2
005,0.025,5,0.09108278749473575,0.1
005,0.0625,5,1.0485753630964232,0.3
005,0.075,5,5170.022485908893,0.5
005,0.0125,5,333.77614755614985,0.5
005,0.05,5,0.33268774112460164,0.2
006,0.025,6,0.49047662051834606,0.2
006,0.3,6,298787828164314200,5.9
006,0.0375,6,91.45341037434731,0.4
006,0.075,6,10486401305222466,1.9
006,0.0125,6,0.034739332785963695,0
006,0.0625,6,971550829998578.5,1.5
006,0.05,6,33775537061334296,1.1
