soa,trim,bf,cohensd
0.0125,2.5sd,0.055734481856251995,-0.1
0.025,2.5sd,76957376036866580,0.2
0.0375,2.5sd,8133965740605893,0.4
0.05,2.5sd,858394540375569.75,0.4
0.0625,2.5sd,845058871826281.5,0.4
0.075,2.5sd,806104723210109.4,0.3
0.3,2.5sd,137926805689407660,-2.3
0.0125,2sd,0.018217374710974437,-0
0.025,2sd,9237162912113478,0.3
0.0375,2sd,8645584421948205,0.4
0.05,2sd,749314548681144800,0.4
0.0625,2sd,861856225830072,0.4
0.075,2sd,34217418889707246e3,0.3
0.3,2sd,5065341566905403e3,-2.4
