participant,bf,r_median,r_lower,r_upper
001,26631297004.51148,0.8387796189875485,0.7088859479130557,0.9086340672180601
002,24090779021.46708,0.8772916853724051,0.7533674845936718,0.9364196634315528
003,1880125769745.1477,0.9118362298874482,0.8390495392352787,0.9535660928683587
004,91170929537536.97,0.93366469124251,0.8751725389087751,0.9666688950696213
005,4157629166560.173,0.9165119821978692,0.8231466135338297,0.9568429431585985
006,12259210883565.055,0.8873500784592032,0.7932672916547371,0.9377057139676727
